"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"203","Subject307",1094.16666666667,433.734958453198,1961.63658357306,226.696749760271,0,3,48
"204","Subject308",478.416666666667,162.165115924156,802.746898514979,154.086434818354,2,0,48
"205","Subject309",443.354166666667,89.2327793943443,621.819725455355,264.888607877978,3,0,48
"206","Subject31",427.166666666667,109.640288707215,646.447244081096,207.886089252237,3,0,48
"207","Subject310",903.229166666667,314.380122238772,1531.98941114421,274.468922189123,1,3,48
"208","Subject311",457.875,59.2727647262878,576.420529452576,339.329470547424,3,0,48
"209","Subject312",461.520833333333,87.7835804894406,637.087994312215,285.953672354452,2,0,48
"210","Subject313",523.625,100.914884084496,725.454768168992,321.795231831008,3,0,48
"211","Subject314",475.895833333333,115.596002210069,707.087837753472,244.703828913195,1,0,48
"212","Subject315",482.625,107.09185260148,696.808705202959,268.441294797041,2,0,48
"213","Subject317",841.333333333333,376.017051069543,1593.36743547242,89.299231194247,1,4,48
"214","Subject318",472.3125,132.975946673137,738.264393346274,206.360606653726,2,0,48
"215","Subject319",409.125,65.1608892615939,539.446778523188,278.803221476812,3,0,48
"216","Subject32",804.6875,256.865902282337,1318.41930456467,290.955695435326,1,0,48
"217","Subject320",557.520833333333,132.895734139521,823.312301612376,291.729365054291,2,0,48
"218","Subject322",400.75,73.4043015726034,547.558603145207,253.941396854793,2,0,48
"219","Subject323",458.583333333333,120.664971971956,699.913277277245,217.253389389421,3,0,48
"220","Subject324",486.125,144.215504374972,774.556008749945,197.693991250055,3,0,48
"221","Subject325",507.395833333333,115.057569232053,737.510971797439,277.280694869227,2,0,48
"222","Subject326",703.583333333333,211.673758746435,1126.9308508262,280.235815840463,1,0,48
"223","Subject327",678.020833333333,211.252343769784,1100.5255208729,255.516145793766,3,0,48
"224","Subject328",545.4375,120.18954998473,785.81659996946,305.05840003054,2,0,48
"225","Subject329",966,406.969286310405,1779.93857262081,152.061427379191,0,2,48
"226","Subject33",537.25,149.761725644722,836.773451289445,237.726548710555,2,0,48
"227","Subject330",482.520833333333,142.941140926969,768.403115187271,196.638551479396,1,0,48
"228","Subject331",432.854166666667,105.535108524157,643.924383714981,221.783949618352,3,0,48
"229","Subject332",590.458333333333,139.433650557537,869.325634448408,311.591032218259,2,0,48
"230","Subject333",439.979166666667,45.4310277249133,530.841222116493,349.11711121684,2,1,48
"231","Subject34",468.020833333333,115.786393494399,699.593620322131,236.448046344536,3,0,48
"232","Subject35",578.5625,152.608790111019,883.780080222037,273.344919777963,1,0,48
"233","Subject36",516.520833333333,108.057508247472,732.635849828277,300.405816838389,1,0,48
"234","Subject37",814.416666666667,299.886349631049,1414.18936592876,214.64396740457,2,2,48
"235","Subject38",452.645833333333,109.979589902106,672.605013137546,232.686653529121,2,0,48
"236","Subject39",469.833333333333,165.38315710036,800.599647534053,139.067019132614,3,0,48
"237","Subject4",751.458333333333,273.936703228842,1299.33173979102,203.58492687565,3,1,48
"238","Subject40",521.916666666667,123.168598052017,768.2538627707,275.579470562633,2,0,48
"239","Subject41",511.958333333333,104.422211367842,720.802756069018,303.113910597649,1,0,48
"240","Subject42",429.229166666667,115.213444764966,659.656056196599,198.802277136734,3,0,48
"241","Subject43",534.145833333333,81.1085402495843,696.362913832502,371.928752834165,2,0,48
"242","Subject44",587.125,197.766639292428,982.658278584856,191.591721415144,2,0,48
"243","Subject45",573.729166666667,159.66783867039,893.064844007447,254.393489325886,3,0,48
"244","Subject46",411.833333333333,50.3711050797017,512.575543492737,311.09112317393,1,1,48
"245","Subject47",444.104166666667,58.873192101558,561.850550869783,326.357782463551,3,1,48
"246","Subject49",671.375,275.570867820765,1222.51673564153,120.233264358471,3,1,48
"247","Subject5",658.625,241.483149934168,1141.59129986834,175.658700131665,2,0,48
"248","Subject50",451.291666666667,155.349428822449,761.990524311564,140.59280902177,2,0,48
"249","Subject52",578.125,136.962896823859,852.050793647717,304.199206352282,1,0,48
"250","Subject53",615.291666666667,177.284716113307,969.861098893281,260.722234440052,3,1,48
"251","Subject54",948.166666666667,216.782892994432,1381.73245265553,514.600880677802,0,0,48
"252","Subject55",365.604166666667,51.808460486818,469.221087640303,261.987245693031,2,0,48
"253","Subject56",443.916666666667,106.620191559699,657.157049786065,230.676283547268,3,0,48
"254","Subject57",647.5625,220.312921193199,1088.1883423864,206.936657613601,2,0,48
"255","Subject58",565.166666666667,220.885773246479,1006.93821315963,123.395120173708,1,1,48
"256","Subject59",907.791666666667,242.838266669125,1393.46820000492,422.115133328416,3,1,48
"257","Subject6",485.083333333333,116.795116724888,718.673566783109,251.493099883558,1,1,48
"258","Subject60",452.020833333333,61.284300715472,574.589434764277,329.452231902389,2,0,48
"259","Subject62",502.895833333333,124.582407074523,752.06064748238,253.731019184286,1,0,48
"260","Subject63",1003.4375,352.947039981801,1709.3315799636,297.543420036398,1,1,48
"261","Subject64",421.229166666667,57.1683737830009,535.565914232669,306.892419100665,2,0,48
"262","Subject65",455.041666666667,67.2480192964133,589.537705259493,320.54562807384,2,0,48
"263","Subject67",371.166666666667,50.6793563802912,472.525379427249,269.807953906084,3,0,48
"264","Subject68",441.791666666667,103.645459165724,649.082584998115,234.500748335219,2,0,48
"265","Subject69",457.354166666667,82.4526916798247,622.259550026316,292.448783307017,2,0,48
"266","Subject7",534.979166666667,114.72974527277,764.438657212206,305.519676121127,2,0,48
"267","Subject70",624.1875,251.000776149516,1126.18905229903,122.185947700967,2,1,48
"268","Subject71",408.895833333333,53.5204234563812,515.936680246096,301.854986420571,2,0,48
"269","Subject72",789.916666666667,175.594532136716,1141.1057309401,438.727602393235,4,0,48
"270","Subject73",527.958333333333,145.381955966232,818.722245265797,237.19442140087,2,0,48
"271","Subject74",432,80.7860320768597,593.572064153719,270.427935846281,3,0,48
"272","Subject76",510.4375,146.97212157847,804.38174315694,216.49325684306,2,0,48
"273","Subject77",463.3125,77.3263755200244,617.965251040049,308.659748959951,1,0,48
"274","Subject78",742,355.912791135156,1453.82558227031,30.1744177296885,3,1,48
"275","Subject79",555.729166666667,167.999333785829,891.727834238324,219.730499095009,3,0,48
"276","Subject8",423.979166666667,59.7136748240544,543.406516314775,304.551817018558,2,1,48
"277","Subject81",771.8125,229.156237351335,1230.12497470267,313.50002529733,3,0,48
"278","Subject82",432.729166666667,157.327918771026,747.38500420872,118.073329124614,3,0,48
"279","Subject83",426.395833333333,104.468205401052,635.332244135437,217.45942253123,2,0,48
"280","Subject84",417.041666666667,70.9017775287587,558.845221724184,275.238111609149,3,0,48
"281","Subject85",802.208333333333,279.237941573462,1360.68421648026,243.732450186409,2,2,48
"282","Subject87",699.5625,220.145590728094,1139.85368145619,259.271318543813,2,0,48
"283","Subject88",470.833333333333,71.7627098486581,614.35875303065,327.307913636017,1,0,48
"284","Subject89",648.541666666667,218.442159278731,1085.42598522413,211.657348109204,1,0,48
"285","Subject9",516.395833333333,161.892365028774,840.180563390882,192.611103275785,3,0,48
"286","Subject91",651.666666666667,206.774451417155,1065.21556950098,238.117763832357,2,0,48
"287","Subject92",NA,NA,NA,NA,0,0,48
"288","Subject93",442.854166666667,75.8102304844095,594.474627635486,291.233705697848,3,0,48
"289","Subject94",436.583333333333,225.654681894688,887.89269712271,-14.726030456043,1,0,48
"290","Subject95",424.625,55.6128811804558,535.850762360912,313.399237639088,3,1,48
"291","Subject96",480.0625,163.637950944644,807.338401889288,152.786598110712,4,0,48
"292","Subject98",655.125,268.27206141559,1191.66912283118,118.58087716882,1,0,48
"293","Subject99",455.958333333333,79.9797735955608,615.917880524455,295.998786142212,2,0,48
