"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"261","Subject181","negative",543.75,223.86915821524,1103.4228955381,-15.9228955380992,0,0,"Subject181","neutral",542.9375,335.588134226068,1381.90783556517,-296.03283556517,1,0,"Subject181","positive",477.5625,174.971985852974,914.992464632435,40.132535367565,1,0,"Subject181","suicide",542.8125,280.023384440181,1242.87096110045,-157.245961100452,1,0
"265","Subject182","negative",351,29.8886823619465,425.721705904866,276.278294095134,0,0,"Subject182","neutral",348.3125,41.5158102414008,452.102025603502,244.522974396498,0,0,"Subject182","positive",332.0625,26.3146822135476,397.849205533869,266.275794466131,0,0,"Subject182","suicide",363.75,42.3406817769073,469.601704442268,257.898295557732,0,0
"269","Subject183","negative",379.875,44.073990818471,490.059977046178,269.690022953822,0,0,"Subject183","neutral",477.125,188.805676115241,949.139190288103,5.11080971189716,1,0,"Subject183","positive",374,46.0955529308414,489.238882327103,258.761117672897,0,0,"Subject183","suicide",399.4375,54.6454862423848,536.051215605962,262.823784394038,0,0
"273","Subject184","negative",309.066666666667,64.221120987977,469.619469136609,148.513864196724,0,0,"Subject184","neutral",293.214285714286,28.6576035592344,364.858294612372,221.5702768162,0,0,"Subject184","positive",271.4375,44.26431030375,382.098275759375,160.776724240625,0,0,"Subject184","suicide",299.75,57.8716971699754,444.429242924938,155.070757075062,1,0
"277","Subject185","negative",420.833333333333,138.959008562259,768.230854738982,73.435811927685,1,0,"Subject185","neutral",431.5,21.1108187114253,484.277046778563,378.722953221437,0,0,"Subject185","positive",371.75,33.6291044582913,455.822761145728,287.677238854272,0,0,"Subject185","suicide",452.666666666667,119.693358211724,751.900062195976,153.433271137358,0,0
"281","Subject186","negative",365.875,63.28546436584,524.0886609146,207.6613390854,0,0,"Subject186","neutral",358.933333333333,33.8219427224961,443.488190139574,274.378476527093,0,0,"Subject186","positive",344.3125,52.4832909918322,475.520727479581,213.10427252042,1,0,"Subject186","suicide",358.4375,54.440142970667,494.537857426668,222.337142573332,0,0
"285","Subject187","negative",352.75,59.4816498314116,501.454124578529,204.045875421471,1,0,"Subject187","neutral",368.6875,74.8711949506173,555.865487376543,181.509512623457,0,0,"Subject187","positive",355.6875,38.0818745161877,450.892186290469,260.482813709531,0,0,"Subject187","suicide",401.75,105.303687811333,665.009219528332,138.490780471668,0,0
"289","Subject188","negative",379,68.7333010022556,550.833252505639,207.166747494361,0,0,"Subject188","neutral",385.625,49.4595794563601,509.2739486409,261.9760513591,0,0,"Subject188","positive",388.125,73.9818671477455,573.079667869364,203.170332130636,0,0,"Subject188","suicide",364.6875,63.9371761966385,524.530440491596,204.844559508404,0,0
"293","Subject189","negative",459.75,58.2963692408598,605.49092310215,314.00907689785,1,0,"Subject189","neutral",439.3125,45.5188147912487,553.109536978122,325.515463021878,0,0,"Subject189","positive",430.1875,35.2934720120686,518.421180030171,341.953819969829,0,0,"Subject189","suicide",451.5625,53.9802047050583,586.513011762646,316.611988237354,0,0
"297","Subject19","negative",372.066666666667,82.3923251164527,578.047479457798,166.085853875535,0,0,"Subject19","neutral",380.4375,105.594803375924,644.424508439809,116.450491560191,1,0,"Subject19","positive",373.533333333333,106.25230529712,639.164096576133,107.902570090534,1,0,"Subject19","suicide",376.6875,66.7539948866982,543.572487216746,209.802512783254,1,0
"301","Subject190","negative",510.375,76.5870963892308,701.842740973077,318.907259026923,0,0,"Subject190","neutral",546.375,78.2984674179514,742.121168544879,350.628831455121,0,0,"Subject190","positive",508.3125,61.7594459711765,662.711114927941,353.913885072059,0,0,"Subject190","suicide",533.625,105.517060231983,797.417650579958,269.832349420042,1,0
"305","Subject191","negative",369.142857142857,114.346590929257,655.009334466,83.2763798197145,0,0,"Subject191","neutral",358.25,27.0970478096785,425.992619524196,290.507380475804,0,0,"Subject191","positive",456.428571428571,106.570566829147,722.854988501439,190.002154355704,0,0,"Subject191","suicide",571.833333333333,266.351209245738,1237.71135644768,-94.0446897810106,0,0
"309","Subject192","negative",443.5,60.7289058027559,595.32226450689,291.67773549311,0,0,"Subject192","neutral",444.125,78.6883091697871,640.845772924468,247.404227075532,1,0,"Subject192","positive",415.9375,71.4221895958579,594.492973989645,237.382026010355,0,0,"Subject192","suicide",449.5625,83.2714186661106,657.741046665276,241.383953334724,1,0
"313","Subject194","negative",336.75,54.2002460019017,472.250615004754,201.249384995246,1,0,"Subject194","neutral",369.375,67.7385906752323,538.721476688081,200.028523311919,0,0,"Subject194","positive",346.8125,53.0348548912254,479.399637228063,214.225362771937,1,0,"Subject194","suicide",352.125,59.9320448508142,501.955112127035,202.294887872965,0,0
